ARTNR;KATNR;BEZ;LIEFERANT;EINHEIT;LIEFERANT1;EK1;KATNR1;LIEFERANT2;EK2;KATNR2;VGL_ARTNR;EK;VK;VK_2;VK1;VK2;VK3;VK4;VK1M;VK2M;VK3M;VK4M;ST1;ST2;ST3;ST4;BESTAND;AMIN;AMAX;GRUPPE;ANGEBOT;PROV;EAN;VK_DAT;EINGANG;VON;BIS;RA;RAM;ANGWIED;SL;LF;VE;PFAND;MIT_PR;BEM;AUS_PLATZ;MWST_VK;MWST_MN;INV_BESTAN;INV_MUST;BILD;ZIGARETTE;DATENBLATT;KAFFEE;H_HOUR1;H_HOUR2;H_HOUR1M;H_HOUR2M;MWST_EK;KATEGOR;MY_ARTNR;NOTVISIBLE;HERSTELLER;HERST_NR;SERNR;SAISON;FARBE;GROSSE;LANGE;GEWICHT;WEBSHOP;VK_INFO;INV_START;INV_ZAHLEN;INV_ENDE;PROV_SATZ;RESERVIERT;FRENCHSATZ;UVP;INTERNNR;BEARBGEB;VK_D_VON;VK_D_BIS;BRAUCH_ET;U_RAB;VON_FIL;AQUER;ISNEGATIV;GEBRAUCHT;TEILBAR;LAGERPLATZ;QRCODE;EAN1;EAN2;PV_EINHEIT;PV_INHALT;WAGDIVISOR;AUTOBESTEL;REALWARE;MHD;STAFF_TEXT;GRUPPE2;
1;Flachmann 100 ml;"Flasche Flachmann"" 100 ml""";228;1;0;0;;0;0;;;0,27;1,5;1,26;0;0;0;0;0;0;0;0;0;0;0;0;-2;600;0;5;0;0;9,50E+12;26.11.2025;30.07.2011;  .  .    ;  .  .    ;0;0;0;0;1;588;0;0;;0;1;1;0;0;;0;;0;0;0;0;0;1;0;5001;0;;;;;;;;0;0;;0;0;0;0;0;0;0;0;0;  .  .    ;  .  .    ;0;0;1;0;0;0;0;0;;0;0;0;0;1;0;1;0;;0;
2;1958;"Flasche Flachmann"" 200 ml""";228;1;0;0;;0;0;;;0,315;1,8;1,51;0;0;0;0;0;0;0;0;0;0;0;0;47;200;0;5;0;0;9,50E+12;26.11.2025;30.07.2011;  .  .    ;  .  .    ;0;0;0;0;1;429;0;0;;0;1;1;0;0;;0;;0;0;0;0;0;1;0;5002;0;;;;;;;;0;0;;0;0;0;0;0;0;0;0;0;  .  .    ;  .  .    ;0;0;1;0;0;0;0;0;;0;0;0;0;1;0;1;0;;0;
3;1242;"Zickzack Essig und Öl"" 250 ml einzeln Flasche""";2;1;0;0;;0;0;;;1,25;4;3,36;0;0;0;0;0;0;0;0;0;0;0;0;4;10;0;5;0;0;9,50E+12;21.08.2025;30.07.2011;  .  .    ;  .  .    ;0;0;0;0;1;18;0;0;;0;1;1;0;0;;0;;0;0;0;0;0;1;0;5003;0;;;;;;;;0;0;;0;0;0;0;0;0;0;0;0;  .  .    ;  .  .    ;1;0;1;0;0;0;1;0;;0;0;0;0;1;0;1;0;;0;
4;1115;Platina 100 ml Flasche;2;1;0;0;;0;0;;;1,36;3,5;2,94;0;0;0;0;0;0;0;0;0;0;0;0;17;10;0;5;0;0;9,50E+12;05.11.2025;30.07.2011;  .  .    ;  .  .    ;0;0;0;0;1;24;0;0;;0;1;1;0;0;;0;;0;0;0;0;0;1;0;5004;0;;;;;;;;0;0;;0;0;0;0;0;0;0;0;0;  .  .    ;  .  .    ;1;0;1;0;0;0;1;0;;0;0;0;0;1;0;1;0;;0;
5;1352;Platina 200 ml Flasche;3;1;0;0;;0;0;;;0,92;3,5;2,94;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;5;0;0;9,50E+12;26.11.2025;30.07.2011;  .  .    ;  .  .    ;0;0;0;0;1;15;0;0;;0;1;1;0;0;;0;;0;0;0;0;0;1;0;5005;0;;;;;;;;0;0;;0;0;0;0;0;0;0;0;0;  .  .    ;  .  .    ;1;0;1;0;0;0;1;0;;0;0;0;0;1;0;1;0;;0;
6;15490 + schraubdeckel 17002;Nocturne, 100ml Flasche mit Schraubdeckel;150;1;0;0;;0;0;;;1,35;3,5;2,94;0;0;0;0;0;0;0;0;0;0;0;0;97;50;0;5;0;0;9,50E+12;20.09.2025;30.07.2011;  .  .    ;  .  .    ;0;0;0;0;1;24;0;0;;0;1;1;0;0;;0;;0;0;0;0;0;1;0;5006;0;;;;;;;;0;0;;0;0;0;0;0;0;0;0;0;  .  .    ;  .  .    ;1;0;1;0;0;0;1;0;;0;0;0;0;1;0;1;0;;0;
7;1971;Apotheker-Flasche 100 ml;2;1;0;0;;0;0;;;1,42;3,3;2,77;0;0;0;0;0;0;0;0;0;0;0;0;1;10;0;5;0;0;9,50E+12;06.09.2023;30.07.2011;  .  .    ;  .  .    ;0;0;0;0;1;24;0;0;;0;1;1;0;0;;0;;0;0;0;0;0;1;0;5007;0;;;;;;;;0;0;;0;0;0;0;0;0;0;0;0;  .  .    ;  .  .    ;1;0;1;0;0;0;1;0;;0;0;0;0;1;0;1;0;;0;
8;10819 Chagall;Apotheker-Flasche 200 ml;3;1;0;0;;0;0;;;0,91;3,3;2,773;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;5;0;0;9,50E+12;21.08.2020;30.07.2011;  .  .    ;  .  .    ;0;0;0;0;1;15;0;0;;0;1;1;0;0;;0;;0;0;0;0;0;1;0;5008;0;;;;;;;;0;0;;0;0;0;0;0;0;0;0;0;  .  .    ;  .  .    ;1;0;1;0;0;0;1;0;;0;0;0;0;1;0;1;0;;0;
9;1809;Apotheker-Flasche 500 ml;3;1;0;0;;0;0;;;0,99;3,9;3,28;0;0;0;0;0;0;0;0;0;0;0;0;2;5;0;5;0;0;9,50E+12;04.02.2022;30.07.2011;  .  .    ;  .  .    ;0;0;0;0;1;14;0;0;;0;1;1;0;0;;0;;0;0;0;0;0;1;0;5009;0;;;;;;;;0;0;;0;0;0;0;0;0;0;0;0;  .  .    ;  .  .    ;0;0;1;0;0;0;0;0;;0;0;0;0;1;0;1;0;;0;
11;1975;Bali 200 ml Flasche;2;1;0;0;;0;0;;;1,79;4,2;3,53;0;0;0;0;0;0;0;0;0;0;0;0;10;4;0;5;0;0;9,50E+12;10.01.2019;30.07.2011;  .  .    ;  .  .    ;0;0;0;0;1;12;0;0;;0;1;1;0;0;;0;;0;0;0;0;0;1;0;5010;0;;;;;;;;0;0;;0;0;0;0;0;0;0;0;0;  .  .    ;  .  .    ;1;0;1;0;0;0;1;0;;0;0;0;0;1;0;1;0;;0;
12;1979;Bali 350 ml Flasche;2;1;0;0;;0;0;;;2,14;3,8;3,19;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;5;0;0;9,50E+12;29.01.2025;30.07.2011;  .  .    ;  .  .    ;0;0;0;0;1;12;0;0;;0;1;1;0;0;;0;;0;0;0;0;0;1;0;5011;0;;;;;;;;0;0;;0;0;0;0;0;0;0;0;0;  .  .    ;  .  .    ;0;0;1;0;0;0;0;0;;0;0;0;0;1;0;1;0;;0;
13;1980;Bali 500 ml Flasche;2;1;0;0;;0;0;;;2,28;4,9;4,12;0;0;0;0;0;0;0;0;0;0;0;0;3;4;0;5;0;0;9,50E+12;07.12.2021;30.07.2011;  .  .    ;  .  .    ;0;0;0;0;1;12;0;0;;0;1;1;0;0;;0;;0;0;0;0;0;1;0;5012;0;;;;;;;;0;0;;0;0;0;0;0;0;0;0;0;  .  .    ;  .  .    ;1;0;1;0;0;0;1;0;;0;0;0;0;1;0;1;0;;0;
14;100934 Esprit;Zenith 200 ml Flasche;3;1;0;0;;0;0;;;1,25;3,7;3,109;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;5;0;0;9,50E+12;19.10.2024;30.07.2011;  .  .    ;  .  .    ;0;0;0;0;1;24;0;0;;0;1;1;0;0;;0;;0;0;0;0;0;1;0;5013;0;;;;;;;;0;0;;0;0;0;0;0;0;0;0;0;  .  .    ;  .  .    ;1;0;1;0;0;0;1;0;;0;0;0;0;1;0;1;0;;0;
15;1869;Zenith 350 ml Flasche;2;1;0;0;;0;0;;;1,89;4,5;3,78;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;5;0;0;9,50E+12;23.04.2025;30.07.2011;  .  .    ;  .  .    ;0;0;0;0;1;24;0;0;;0;1;1;0;0;;0;;0;0;0;0;0;1;0;5014;0;;;;;;;;0;0;;0;0;0;0;0;0;0;0;0;  .  .    ;  .  .    ;1;0;1;0;0;0;1;0;;0;0;0;0;1;0;1;0;;0;
16;11590 Esprit;Zenith 500 ml Flasche;3;1;0;0;;0;0;;;1,46;5,2;4,37;0;0;0;0;0;0;0;0;0;0;0;0;13;2;0;5;0;0;9,50E+12;14.07.2025;30.07.2011;  .  .    ;  .  .    ;0;0;0;0;1;10;0;0;;0;1;1;0;0;;0;;0;0;0;0;0;1;0;5015;0;;;;;;;;0;0;;0;0;0;0;0;0;0;0;0;  .  .    ;  .  .    ;1;0;1;0;0;0;1;0;;0;0;0;0;1;0;1;0;;0;
17;10824;"Piratenflasche, 50ml, Totenkopf""""";3;1;0;0;;0;0;;;1,08;2,6;2,185;0;0;0;0;0;0;0;0;0;0;0;0;38;2;0;5;0;0;9,50E+12;22.08.2025;30.07.2011;  .  .    ;  .  .    ;0;0;0;0;1;10;0;0;;0;1;1;0;0;;0;;0;0;0;0;0;1;0;5016;0;;;;;;;;0;0;;0;0;0;0;0;0;0;0;0;  .  .    ;  .  .    ;1;0;1;0;0;0;1;0;;0;0;0;0;1;0;1;0;;0;
18;?;Maraska klar 250 ml Flasche;3;1;0;0;;0;0;;;0,53;2,4;2,02;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;5;0;0;4,01E+12;20.11.2025;30.07.2011;  .  .    ;  .  .    ;0;0;0;0;1;48;0;0;;0;1;1;0;0;;0;;0;0;0;0;0;1;0;5017;0;;;;;;;;0;0;;0;0;0;0;0;0;0;0;0;  .  .    ;  .  .    ;0;0;1;0;0;0;0;0;;0;0;0;0;1;0;1;0;;0;
19;10843;Maraska antikgrün 250 ml Flasche;3;1;0;0;;0;0;;;0,58;2,4;2,02;0;0;0;0;0;0;0;0;0;0;0;0;87;10;0;5;0;0;9,50E+12;15.11.2025;30.07.2011;  .  .    ;  .  .    ;0;0;0;0;1;24;0;0;;0;1;1;0;0;;0;;0;0;0;0;0;1;0;5018;0;;;;;;;;0;0;;0;0;0;0;0;0;0;0;0;  .  .    ;  .  .    ;1;0;1;0;0;0;1;0;;0;0;0;0;1;0;1;0;;0;
20;11195;Maraska klar 500 ml Flasche;3;1;0;0;;0;0;;;0,62;2,5;2,101;0;0;0;0;0;0;0;0;0;0;0;0;-2;5;0;5;0;0;4,01E+12;26.11.2025;30.07.2011;  .  .    ;  .  .    ;0;0;0;0;1;20;0;0;;0;1;1;0;0;;0;;0;0;0;0;0;1;0;5019;0;;;;;;;;0;0;;0;0;0;0;0;0;0;0;0;  .  .    ;  .  .    ;0;0;1;0;0;0;0;0;;0;0;0;0;1;0;1;0;;0;
21;1925;Maraska antikgrün 500 ml Flasche;2;1;0;0;;0;0;;;0,85;2,5;2,1;0;0;0;0;0;0;0;0;0;0;0;0;7;5;0;5;0;0;9,50E+12;07.11.2025;30.07.2011;  .  .    ;  .  .    ;0;0;0;0;1;20;0;0;;0;1;1;0;0;;0;;0;0;0;0;0;1;0;5020;0;;;;;;;;0;0;;0;0;0;0;0;0;0;0;0;  .  .    ;  .  .    ;1;0;1;0;0;0;1;0;;0;0;0;0;1;0;1;0;;0;
22;1239;Egizia 250 ml Flasche mit Korken;2;1;0;0;;0;0;;;1,48;3,5;2,94;0;0;0;0;0;0;0;0;0;0;0;0;3;5;0;5;0;0;9,50E+12;30.03.2024;30.07.2011;  .  .    ;  .  .    ;0;0;0;0;1;24;0;0;;0;1;1;0;0;;0;;0;0;0;0;0;1;0;5021;0;;;;;;;;0;0;;0;0;0;0;0;0;0;0;0;  .  .    ;  .  .    ;1;0;1;0;0;0;1;0;;0;0;0;0;1;0;1;0;;0;
23;1981N;"Flasche Ei Osterei"", 100ml, leer""";2;1;0;0;;0;0;;;1,85;3,8;3,19;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;5;0;0;9,50E+12;30.05.2025;30.07.2011;  .  .    ;  .  .    ;0;0;0;0;1;20;0;0;;0;1;1;0;0;;0;;0;0;0;0;0;1;0;5022;0;;;;;;;;0;0;;0;0;0;0;0;0;0;0;0;  .  .    ;  .  .    ;0;0;1;0;0;0;0;0;;0;0;0;0;1;0;1;0;;0;
24;1378N + 2952G Schraubverschluss;Mini Nocturne, mit Schraubverschluss, 50 ml Flasche;124;1;0;0;;0;0;;;0,82;2;1,68;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;5;0;0;9,50E+12;17.09.2025;30.07.2011;  .  .    ;  .  .    ;0;0;0;0;1;24;0;0;;0;1;1;0;0;;0;;0;0;0;0;0;1;0;5023;0;;;;;;;;0;0;;0;0;0;0;0;0;0;0;0;  .  .    ;  .  .    ;0;0;1;0;0;0;0;0;;0;0;0;0;1;0;1;0;;0;
25;1207;Dama vierkantig 200 ml Flasche;2;1;0;0;;0;0;;;1,28;3,5;2,94;0;0;0;0;0;0;0;0;0;0;0;0;2;12;0;5;0;0;9,50E+12;29.01.2025;30.07.2011;  .  .    ;  .  .    ;0;0;0;0;1;24;0;0;;0;1;1;0;0;;0;;0;0;0;0;0;1;0;5024;0;;;;;;;;0;0;;0;0;0;0;0;0;0;0;0;  .  .    ;  .  .    ;1;0;1;0;0;0;1;0;;0;0;0;0;1;0;1;0;;0;
26;1811;Mystic 250 ml Flasche;3;1;0;0;;0;0;;;2,12;5,3;4,45;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;5;0;0;9,50E+12;15.12.2020;30.07.2011;  .  .    ;  .  .    ;0;0;0;0;1;24;0;0;;0;1;1;0;0;;0;;0;0;0;0;0;1;0;5025;0;;;;;;;;0;0;;0;0;0;0;0;0;0;0;0;  .  .    ;  .  .    ;1;0;1;0;0;0;1;0;;0;0;0;0;1;0;1;0;;0;
27;1345;Set Twin je 200 ml (2 Flaschen);2;1;0;0;;0;0;;;3;7,5;6,303;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;5;0;0;9,50E+12;30.07.2024;30.07.2011;  .  .    ;  .  .    ;0;0;0;0;1;10;0;0;;0;1;1;0;0;;0;;0;0;0;0;0;1;0;5026;0;;;;;;;;0;0;;0;0;0;0;0;0;0;0;0;  .  .    ;  .  .    ;1;0;1;0;0;0;1;0;;0;0;0;0;1;0;1;0;;0;
28;1856;Ambience. 200ml;2;1;0;0;;0;0;;;2,29;5;4,2;0;0;0;0;0;0;0;0;0;0;0;0;9;5;0;5;0;0;9,50E+12;26.11.2025;30.07.2011;  .  .    ;  .  .    ;0;0;0;0;1;15;0;0;;0;1;1;0;0;;0;;0;0;0;0;0;1;0;5027;0;;;;;;;;0;0;;0;0;0;0;0;0;0;0;0;  .  .    ;  .  .    ;1;0;1;0;0;0;1;0;;0;0;0;0;1;0;1;0;;0;
29;Flaschenland;Cube 50ml Mini Flasche, leer;24;1;0;0;;0;0;;;0,96;1,9;1,6;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;5;0;0;9,50E+12;16.11.2024;30.07.2011;  .  .    ;  .  .    ;0;0;0;0;1;9;0;0;;0;1;1;0;0;;0;;0;0;0;0;0;1;0;5028;0;;;;;;;;0;0;;0;0;0;0;0;0;0;0;0;  .  .    ;  .  .    ;1;0;1;0;0;0;1;0;;0;0;0;0;1;0;1;0;;0;
30;1956;Leuchtturm 200ml;2;1;0;0;;0;0;;;2,24;4,8;4,03;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;5;0;0;9,50E+12;31.07.2024;30.07.2011;  .  .    ;  .  .    ;0;0;0;0;1;30;0;0;;0;1;1;0;0;;0;;0;0;0;0;0;1;0;5029;0;;;;;;;;0;0;;0;0;0;0;0;0;0;0;0;  .  .    ;  .  .    ;1;0;1;0;0;0;1;0;;0;0;0;0;1;0;1;0;;0;
31;12105;Nocturne 700 ml Flasche;150;1;0;0;;0;0;;;1,92;4,8;4,03;0;0;0;0;0;0;0;0;0;0;0;0;6;12;0;5;0;0;9,50E+12;16.07.2025;30.07.2011;  .  .    ;  .  .    ;0;0;0;0;1;24;0;0;;0;1;1;0;0;;0;;0;0;0;0;0;1;0;5030;0;;;;;;;;0;0;;0;0;0;0;0;0;0;0;0;  .  .    ;  .  .    ;1;0;1;0;0;0;1;0;;0;0;0;0;1;0;1;0;;0;
32;1881;Bügelverschlussflasche Kubika 100 ml;2;1;0;0;;0;0;;;1,41;3,8;3,19;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;5;0;0;9,50E+12;04.12.2021;30.07.2011;  .  .    ;  .  .    ;0;0;0;0;1;30;0;0;;0;1;1;0;0;;0;;0;0;0;0;0;1;0;5031;0;;;;;;;;0;0;;0;0;0;0;0;0;0;0;0;  .  .    ;  .  .    ;1;0;1;0;0;0;1;0;;0;0;0;0;1;0;1;0;;0;
33;1248;Bügelverschlussflasche Syphon 200 ml;2;1;0;0;;0;0;;;1,99;4,5;3,78;0;0;0;0;0;0;0;0;0;0;0;0;3;18;0;5;0;0;9,50E+12;04.12.2021;30.07.2011;  .  .    ;  .  .    ;0;0;0;0;1;18;0;0;;0;1;1;0;0;;0;;0;0;0;0;0;1;0;5032;0;;;;;;;;0;0;;0;0;0;0;0;0;0;0;0;  .  .    ;  .  .    ;1;0;1;0;0;0;1;0;;0;0;0;0;1;0;1;0;;0;
34;1804N;Apotheker-Flasche, 1 Liter;2;1;0;0;;0;0;;;2,75;5,5;4,62;0;0;0;0;0;0;0;0;0;0;0;0;10;5;0;5;0;0;9,50E+12;25.11.2025;30.07.2011;  .  .    ;  .  .    ;0;0;0;0;1;18;0;0;;0;1;1;0;0;;0;;0;0;0;0;0;1;0;5033;0;;;;;;;;0;0;;0;0;0;0;0;0;0;0;0;  .  .    ;  .  .    ;0;0;1;0;0;0;0;0;;0;0;0;0;1;0;1;0;;0;
35;11307;Geradhals 1000 ml Flasche;3;1;0;0;;0;0;;;0,97;2,5;2,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;9,50E+12;20.11.2025;30.07.2011;  .  .    ;  .  .    ;0;0;0;0;1;28;0;0;;0;1;1;0;0;;0;;0;0;0;0;0;1;0;5034;0;;;;;;;;0;0;;0;0;0;0;0;0;0;0;0;  .  .    ;  .  .    ;0;0;1;0;0;0;0;0;;0;0;0;0;1;0;1;0;;0;
36;12249;Nocturne 200 ml Flasche;3;1;0;0;;0;0;;;1,32;3,5;2,94;0;0;0;0;0;0;0;0;0;0;0;0;38;10;0;5;0;0;9,50E+12;15.04.2025;30.07.2011;  .  .    ;  .  .    ;0;0;0;0;1;36;0;0;;0;1;1;0;0;;0;;0;0;0;0;0;1;0;5035;0;;;;;;;;0;0;;0;0;0;0;0;0;0;0;0;  .  .    ;  .  .    ;1;0;1;0;0;0;1;0;;0;0;0;0;1;0;1;0;;0;
37;162;Nocturne 500 ml Flasche;124;1;0;0;;0;0;;;1,7;4,8;4,03;0;0;0;0;0;0;0;0;0;0;0;0;71;10;0;5;0;0;9,50E+12;17.11.2025;30.07.2011;  .  .    ;  .  .    ;0;0;0;0;1;30;0;0;;0;1;1;0;0;;0;;0;0;0;0;0;1;0;5036;0;;;;;;;;0;0;;0;0;0;0;0;0;0;0;0;  .  .    ;  .  .    ;1;0;1;0;0;0;1;0;;0;0;0;0;1;0;1;0;;0;
38;88810691 vorher EK 15,90;Zahl 30 Tulipano 500ml mundgeblasen;47;1;0;0;;0;0;;;22,82;54,5;45,8;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;5;0;0;9,50E+12;09.12.2020;30.07.2011;  .  .    ;  .  .    ;0;0;0;0;1;25;0;0;;0;1;1;0;0;;0;;0;0;0;0;0;1;0;5037;0;;;;;;;;0;0;;0;0;0;0;0;0;0;0;0;  .  .    ;  .  .    ;1;0;1;0;0;0;1;0;;0;0;0;0;1;0;1;0;;0;
39;SR21605;Serviettenring Napkin ring silver;159;1;0;0;;0;0;;;2,1;5,5;4,62;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;37;0;0;6,86E+11;25.08.2025;02.08.2011;  .  .    ;  .  .    ;0;0;0;0;1;6;0;0;;0;1;1;0;0;;0;;0;0;0;0;0;1;0;32093;0;;;;;;;;0;0;;0;0;0;0;0;0;0;0;0;  .  .    ;  .  .    ;0;0;1;0;0;0;0;0;;0;0;0;0;1;0;1;0;;0;
40;2002 W;Pesto Tartufo, Trüffel-Pesto, 135g;265;1;0;0;;0;0;;;2,95;6,5;6,08;0;0;0;0;0;0;0;0;0;0;0;0;6;1;0;6;0;0;4,26E+12;26.11.2025;02.08.2011;  .  .    ;  .  .    ;0;0;0;0;1;12;0;0;;0;2;2;0;0;;0;;0;0;0;0;0;2;0;6002;0;;;;;;;;0;0;;0;0;0;0;0;0;0;0;0;  .  .    ;  .  .    ;0;0;1;0;0;0;0;0;;0;0;0;0;1;0;1;0;;0;
41;2005 W;Pesto alla Genovese, 135g;265;1;0;0;;0;0;;;2,75;5,9;5,51;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;6;0;0;4,26E+12;17.10.2025;02.08.2011;  .  .    ;  .  .    ;0;0;0;0;1;12;0;0;;0;2;2;0;0;;0;;0;0;0;0;0;2;0;6003;0;;;;;;;;0;0;;0;0;0;0;0;0;0;0;0;  .  .    ;  .  .    ;0;0;1;0;0;0;0;0;;0;0;0;0;1;0;1;0;;0;
42;140600 W;Aprikosen Tomaten Dip, 115 ml;220;1;0;0;;0;0;;;1,99;4,9;4,58;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;7;0;0;8,70E+12;19.11.2025;02.08.2011;  .  .    ;  .  .    ;0;0;0;0;1;12;0;0;;0;2;2;0;0;;0;;0;0;0;0;0;2;0;7001;0;;;;;;;;0;0;;0;0;0;0;0;0;0;0;0;  .  .    ;  .  .    ;0;0;1;0;0;0;0;0;;0;0;0;0;1;0;1;0;;0;
43;154000 W;Brotaufstrich Tomate Paprika mit Walnüssen, 125g;220;1;0;0;;0;0;;;1,99;4,9;4,58;0;0;0;0;0;0;0;0;0;0;0;0;6;1;0;7;0;0;8,70E+12;18.11.2025;02.08.2011;  .  .    ;  .  .    ;0;0;0;0;1;12;0;0;;0;2;2;0;0;;0;;0;0;0;0;0;2;0;7002;0;;;;;;;;0;0;;0;0;0;0;0;0;0;0;0;  .  .    ;  .  .    ;0;0;1;0;0;0;0;0;;0;0;0;0;1;0;1;0;;0;
