ARTNR,"KATNR,C,55","BEZ,C,120",LIEFERANT,"EINHEIT,N,2,0",LIEFERANT1,"EK1,N,9,3","KATNR1,C,55",LIEFERANT2,"EK2,N,9,3","KATNR2,C,55","VGL_ARTNR,C,45","EK,N,9,3","VK,N,9,3","VK_2,N,9,3","VK1,N,9,3","VK2,N,9,3","VK3,N,9,3","VK4,N,9,3","VK1M,N,9,3","VK2M,N,9,3","VK3M,N,9,3","VK4M,N,9,3","ST1,N,4,0","ST2,N,4,0","ST3,N,4,0","ST4,N,4,0","BESTAND,N,10,3","AMIN,N,7,2","AMAX,N,7,2",GRUPPE,"ANGEBOT,L","PROV,N,5,2","EAN,N,13,0","VK_DAT,D","EINGANG,D","VON,D","BIS,D","RA,N,7,2","RAM,N,7,2","ANGWIED,L","SL,L","LF,L","VE,N,6,2","PFAND,N,6,2","MIT_PR,N,7,2","BEM,M","AUS_PLATZ,N,2,0","MWST_VK,N,2,0","MWST_MN,N,2,0","INV_BESTAN,N,9,3","INV_MUST,L","BILD,M","ZIGARETTE,L","DATENBLATT,M","KAFFEE,L","H_HOUR1,N,7,2","H_HOUR2,N,7,2","H_HOUR1M,N,7,2","H_HOUR2M,N,7,2","MWST_EK,N,2,0",KATEGOR,MY_ARTNR,"NOTVISIBLE,L","HERSTELLER,C,35","HERST_NR,C,35","SERNR,M","SAISON,C,35","FARBE,C,85","GROSSE,C,30","LANGE,C,30","GEWICHT,N,10,3","WEBSHOP,L","VK_INFO,M","INV_START,N,10,3","INV_ZAHLEN,N,10,3","INV_ENDE,N,10,3","PROV_SATZ,N,5,2","RESERVIERT,N,10,2","FRENCHSATZ,N,5,2","UVP,N,10,2",INTERNNR,"BEARBGEB,N,7,2","VK_D_VON,D","VK_D_BIS,D","BRAUCH_ET,L","U_RAB,N,5,2",VON_FIL,"AQUER,L","ISNEGATIV,L","GEBRAUCHT,L","TEILBAR,L",LAGERPLATZ,"QRCODE,M","EAN1,N,13,0","EAN2,N,13,0","PV_EINHEIT,N,1,0","PV_INHALT,N,8,3",WAGDIVISOR,"AUTOBESTEL,L","REALWARE,L","MHD,L","STAFF_TEXT,M",GRUPPE2
1,Flachmann 100 ml,"Flasche ""Flachmann"" 100 ml",228,1,0,0,,0,0,,,0.27,1.5,1.26,0,0,0,0,0,0,0,0,0,0,0,0,183,600,0,5,,,9500191111116,12/16/2024,07/30/2011,,,0,0,FALSE,,TRUE,588,0,0,,,1,1,,FALSE,,,,,0,0,0,0,1,0,5001,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,FALSE,0,1,FALSE,FALSE,FALSE,FALSE,0,,,,,,1,FALSE,TRUE,,,0
2,1958,"Flasche ""Flachmann"" 200 ml",228,1,0,0,,0,0,,,0.315,1.8,1.51,0,0,0,0,0,0,0,0,0,0,0,0,156,200,0,5,,,9500291111115,12/16/2024,07/30/2011,,,0,0,FALSE,,TRUE,429,0,0,,,1,1,,FALSE,,,,,0,0,0,0,1,0,5002,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,FALSE,0,1,FALSE,FALSE,FALSE,FALSE,0,,,,,,1,FALSE,TRUE,,,0
3,1242,"Zickzack ""Essig und Íl"" 250 ml einzeln Flasche",2,1,0,0,,0,0,,,1.25,4,3.36,0,0,0,0,0,0,0,0,0,0,0,0,11,10,0,5,,,9500391111114,05/16/2024,07/30/2011,,,0,0,FALSE,,TRUE,18,0,0,,,1,1,,FALSE,,,,,0,0,0,0,1,0,5003,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,TRUE,0,1,FALSE,FALSE,FALSE,TRUE,0,,,,,,1,FALSE,TRUE,,,0
4,1115,Platina 100 ml Flasche,2,1,0,0,,0,0,,,1.36,3.5,2.94,0,0,0,0,0,0,0,0,0,0,0,0,38,10,0,5,,,9500491111113,08/29/2024,07/30/2011,,,0,0,FALSE,,TRUE,24,0,0,,,1,1,,FALSE,,,,,0,0,0,0,1,0,5004,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,TRUE,0,1,FALSE,FALSE,FALSE,TRUE,0,,,,,,1,FALSE,TRUE,,,0
5,1352,Platina 200 ml Flasche,3,1,0,0,,0,0,,,0.92,1.8,1.552,0,0,0,0,0,0,0,0,0,0,0,0,28,20,0,5,,,9500591111112,12/04/2023,07/30/2011,,,0,0,FALSE,,TRUE,15,0,0,,,1,1,,FALSE,,,,,0,0,0,0,1,0,5005,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,TRUE,0,1,FALSE,FALSE,FALSE,TRUE,0,,,,,,1,FALSE,TRUE,,,0
6,15490 + schraubdeckel 17002,"Nocturne, 100ml Flasche mit Schraubdeckel",150,1,0,0,,0,0,,,1.35,3.5,2.94,0,0,0,0,0,0,0,0,0,0,0,0,104,50,0,5,,,9500691111111,11/25/2024,07/30/2011,,,0,0,FALSE,,TRUE,24,0,0,,,1,1,,FALSE,,,,,0,0,0,0,1,0,5006,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,TRUE,0,1,FALSE,FALSE,FALSE,TRUE,0,,,,,,1,FALSE,TRUE,,,0
7,1971,Apotheker-Flasche 100 ml,2,1,0,0,,0,0,,,1.42,3.3,2.77,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,5,,,9500791111110,09/06/2023,07/30/2011,,,0,0,FALSE,,TRUE,24,0,0,,,1,1,,FALSE,,,,,0,0,0,0,1,0,5007,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,TRUE,0,1,FALSE,FALSE,FALSE,TRUE,0,,,,,,1,FALSE,TRUE,,,0
8,10819 Chagall,Apotheker-Flasche 200 ml,3,1,0,0,,0,0,,,0.91,3.3,2.773,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,5,,,9500891111119,08/21/2020,07/30/2011,,,0,0,FALSE,,TRUE,15,0,0,,,1,1,,FALSE,,,,,0,0,0,0,1,0,5008,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,TRUE,0,1,FALSE,FALSE,FALSE,TRUE,0,,,,,,1,FALSE,TRUE,,,0
9,1809,Apotheker-Flasche 500 ml,3,1,0,0,,0,0,,,0.99,3.9,3.28,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,5,,,9500991111118,02/04/2022,07/30/2011,,,0,0,FALSE,,TRUE,14,0,0,,,1,1,,FALSE,,,,,0,0,0,0,1,0,5009,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,FALSE,0,1,FALSE,FALSE,FALSE,FALSE,0,,,,,,1,FALSE,TRUE,,,0
11,1975,Bali 200 ml Flasche,2,1,0,0,,0,0,,,1.79,4.2,3.53,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,5,,,9501091111114,01/10/2019,07/30/2011,,,0,0,FALSE,,TRUE,12,0,0,,,1,1,,FALSE,,,,,0,0,0,0,1,0,5010,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,TRUE,0,1,FALSE,FALSE,FALSE,TRUE,0,,,,,,1,FALSE,TRUE,,,0
